"동별","연령별","항목","단위","2024. 4/4","2025. 1/4","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년","2022 년","2023 년","2024 년",
"용산구","35~39세","계","","17865","17883","20867","20937","21061","21486","21848","21507","20959","19988","19168","18502","17865",
"용산구","35~39세","한국인","","16204","16238","19100","19016","19127","19474","19817","19445","19011","18041","17328","16687","16204",
"용산구","35~39세","등록외국인","","1661","1645","1767","1921","1934","2012","2031","2062","1948","1947","1840","1815","1661",
"용산구","40~44세","계","","17345","17171","23210","22070","20716","19459","18534","18287","18636","18464","18662","18391","17345",
"용산구","40~44세","한국인","","15751","15576","21701","20486","19073","17812","16858","16541","16998","16823","16919","16789","15751",
"용산구","40~44세","등록외국인","","1594","1595","1509","1584","1643","1647","1676","1746","1638","1641","1743","1602","1594",
"용산구","45~49세","계","","14897","15074","20809","21162","21833","22058","21672","21037","20045","18232","16873","15748","14897",
"용산구","45~49세","한국인","","13606","13679","19475","19797","20424","20629","20272","19618","18700","16958","15593","14499","13606",
"용산구","45~49세","등록외국인","","1291","1395","1334","1365","1409","1429","1400","1419","1345","1274","1280","1249","1291",
"용산구","50~54세","계","","17848","17642","20304","19842","18974","18685","19035","19598","20227","20467","20230","19218","17848",
"용산구","50~54세","한국인","","16844","16632","19194","18661","17811","17575","17911","18440","19133","19321","19039","18203","16844",
"용산구","50~54세","등록외국인","","1004","1010","1110","1181","1163","1110","1124","1158","1094","1146","1191","1015","1004",
"용산구","55~59세","계","","16577","16677","18678","19067","19059","19099","19244","18966","18813","17652","17050","16882","16577",
"용산구","55~59세","한국인","","15813","15886","17818","18099","18185","18271","18336","18019","17937","16801","16221","16114","15813",
"용산구","55~59세","등록외국인","","764","791","860","968","874","828","908","947","876","851","829","768","764",
"용산구","60~64세","계","","15700","15610","13065","13901","15079","15535","16241","16809","17332","17147","16847","16570","15700",
"용산구","60~64세","한국인","","15219","15093","12663","13498","14595","15059","15755","16313","16834","16656","16336","16085","15219",
"용산구","60~64세","등록외국인","","481","517","402","403","484","476","486","496","498","491","511","485","481",
"용산구","65~69세","계","","13504","13593","10968","11223","10886","10990","11019","11413","12245","12772","13093","13488","13504",
"용산구","65~69세","한국인","","13269","13313","10796","11013","10675","10775","10782","11172","12006","12513","12818","13241","13269",
"용산구","65~69세","등록외국인","","235","280","172","210","211","215","237","241","239","259","275","247","235",
