district_code,district,year,private_name
11215,광진구,2020,군자역점 스포애니 (주)케이디헬스케어
11215,광진구,2020,몸가짐 휘트니스 구의점
11215,광진구,2020,버핏그라운드 강변테크노마트
11215,광진구,2020,에이투짐
11215,광진구,2020,에이투짐(A2GYM)
11215,광진구,2020,짐에잇
11215,광진구,2020,클레어 필라테스&PT 건대점
11215,광진구,2020,휘트니스베이24시 건대역점
11215,광진구,2021,근 & 짐
11215,광진구,2021,더프라임PT
11215,광진구,2021,마일로짐
11215,광진구,2021,어반더핏
11215,광진구,2021,우리동네 PT샵
11215,광진구,2021,원더바디핏
11215,광진구,2021,이너라인 GYM
11215,광진구,2021,임스타핏
11215,광진구,2021,정스짐
11215,광진구,2021,토니바디W
11215,광진구,2021,피티니스
11215,광진구,2021,해부학적 운동 군자점
11215,광진구,2022,714GYM
11215,광진구,2022,Must run 스피드 트레이닝 센터
11215,광진구,2022,W PT STUDIO
11215,광진구,2022,coworker(코워커)
11215,광진구,2022,근모닝PT
11215,광진구,2022,더컨디셔닝 광장점
11215,광진구,2022,던전짐
11215,광진구,2022,도움pt
11215,광진구,2022,모두짐
11215,광진구,2022,몸가짐휘트니스 건대입구점
11215,광진구,2022,블랙스짐
11215,광진구,2022,스포니스 화양점
11215,광진구,2022,에이블짐 어린이대공원역점
11215,광진구,2022,엠크루짐 헬스/PT
11215,광진구,2022,위아짐
11215,광진구,2022,초이스짐
11215,광진구,2022,토니바디PT& 건대점
11215,광진구,2022,피트니즈 PT 중곡점
11215,광진구,2022,피트니즈 자양점
11215,광진구,2022,휘트니스피플우먼 건대점
11215,광진구,2022,흙감자PT
11215,광진구,2023,365PT
11215,광진구,2023,더 핏 하이브(The Fit Hive)
11215,광진구,2023,라인피티
11215,광진구,2023,물리치료사의 기능성 트레이닝
11215,광진구,2023,발레전문체력 능동센터
11215,광진구,2023,백트니스 GYM
11215,광진구,2023,버닝타임짐
11215,광진구,2023,아차산역점 스포애니 주)케이디헬스케어
11215,광진구,2023,에이투짐 건대점
11215,광진구,2023,짐유어짐
11215,광진구,2023,캐리스타 휘트니스 영동대교 4호점
11215,광진구,2023,프리원핏 건대점
11215,광진구,2023,헤이스짐
11215,광진구,2023,휘트니스풀바디
11215,광진구,2024,3R GYM
11215,광진구,2024,그로우무브
11215,광진구,2024,다이나믹짐스튜디오
11215,광진구,2024,도지 휘트니스 강변역
11215,광진구,2024,리몸델링짐 PT&필라테스 구의점
11215,광진구,2024,마스터짐
11215,광진구,2024,몸의형태
11215,광진구,2024,바디랩 그룹트레이닝 & PT 강변점
11215,광진구,2024,빌리버짐 구의점 헬스& PT
11215,광진구,2024,어게인짐 건대입구역점
11215,광진구,2024,언제나 바디 습관 PT
11215,광진구,2024,웰니스핏
11215,광진구,2024,정스짐 여성전문 PT & 헬스
11215,광진구,2024,짐박스피트니스 어린이대공원점
11215,광진구,2024,크로스핏 썬즈(CROSSFIT SUNS)
11215,광진구,2024,테일러 필라테스&피티
11215,광진구,2024,프리원핏 군자점
11215,광진구,2024,휘트니스피플 우먼 군자역점
11215,광진구,2025,더바름 진 스포츠센터
11215,광진구,2025,머슬킹 익스프레스
11215,광진구,2025,에이블짐 건대입구역점
11215,광진구,2025,이타짐 PT 구의점
11215,광진구,2025,짐박스피트니스 건대입구점
11215,광진구,2025,페인스톰 아차산
11215,광진구,2025,프리원핏 구의점
11230,동대문구,1996,태정헬스
11230,동대문구,2000,동대문종합사회복지관(체력단련장업)
11230,동대문구,2002,파워헬스클럽
11230,동대문구,2003,골든몽키짐(GYM)
11230,동대문구,2003,비너스헬스
11230,동대문구,2003,에센휘트니스 크럽
11230,동대문구,2003,헬스데이 답십리점
11230,동대문구,2003,헬스파크
11230,동대문구,2005,휴맥스 휘트니스크럽
11230,동대문구,2006,에스라인 휘트니스
11230,동대문구,2006,영스짐 헬스&PT장안점
11230,동대문구,2006,헬스 119
11230,동대문구,2008,휘트니스 월드
11230,동대문구,2008,힐 휘트니스
11230,동대문구,2010,버닝타임
11230,동대문구,2012,하늘스포츠재활센터
11230,동대문구,2012,헬스보이짐 장안점
11230,동대문구,2013,아크로짐 24시 헬스&PT 외대역점
11230,동대문구,2013,청계스포츠(체력단련장)
11230,동대문구,2013,투엑스휘트니스
11230,동대문구,2014,더블에스 휘트니스
11230,동대문구,2014,머슬허슬
11230,동대문구,2014,크로스핏(헬스)
11230,동대문구,2014,한신휘트니스
11230,동대문구,2015,H-body 휘트니스
11230,동대문구,2015,HTV 휘트니스
11230,동대문구,2015,라온 퍼스널트레이닝
11230,동대문구,2015,비피짐
11230,동대문구,2015,스포벡휘트니스
11230,동대문구,2016,A True Gym 답십리점
11230,동대문구,2016,H GYM(에이치 짐)
11230,동대문구,2016,H-GYM 투
11230,동대문구,2016,M&F 스포츠클럽
11230,동대문구,2016,New Body Gym
11230,동대문구,2016,에이짐(A GYM)
11230,동대문구,2016,와치 휘트니스
11230,동대문구,2016,크로스핏 리스펙
11230,동대문구,2017,MJ 스포랜드
11230,동대문구,2017,더블에스 휘트니스
11230,동대문구,2017,에이블짐 휘트니스
11230,동대문구,2018,에이치짐 회기점
11230,동대문구,2018,직선 퍼스널트레이닝
11230,동대문구,2018,트리플에이짐(Triple A Gym)
11230,동대문구,2019,HATTE PT STUDIO
11230,동대문구,2019,머슬랭PT
11230,동대문구,2019,머슬아카데미 GYM
11230,동대문구,2019,무브짐
11230,동대문구,2019,상승짐
11230,동대문구,2019,스포애니 신설동역점 (주)케이디헬스케어
